,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
3,2018-04-06-01,60662,4281.36,574.59,284.52,271.47,134.73,0.74,1.05,0.95,0.96
4,2018-04-06-01,47975,2405.88,575.49,255,239.54,99.45,0.72,1.06,0.94,0.95
5,2018-04-06-01,71401,1477.87,597.99,316.34,287.38,61.1,0.79,1.1,0.91,0.98
6,2018-04-06-01,70084,535.64,617.39,330.35,270.12,90.55,0.68,1.22,0.82,0.95
7,2018-04-06-01,46269,6160.77,613.34,251.01,234.7,19.53,0.76,1.07,0.94,0.97
8,2018-04-06-01,125122,3813.29,1400.14,400.86,397.42,174.84,0.9,1.01,0.99,0.99
9,2018-04-06-01,124832,5693.25,1403.93,401.25,396.11,18.7,0.86,1.01,0.99,0.99
10,2018-04-06-01,112554,1936.26,1414.28,398.09,359.99,154.88,0.84,1.11,0.9,0.99
11,2018-04-06-01,89799,2867.73,1402.5,341.54,334.76,135.41,0.66,1.02,0.98,0.95
12,2018-04-06-01,50822,4729.33,1417.12,262.68,246.34,170.13,0.8,1.07,0.94,0.97
13,2018-04-06-01,40009,1109.61,1426.54,244.93,207.98,59.97,0.78,1.18,0.85,0.96
14,2018-04-06-01,100788,561.55,2214.83,373.28,343.79,143.86,0.74,1.09,0.92,0.96
15,2018-04-06-01,57036,4283.12,2165.29,277.84,261.38,63.27,0.87,1.06,0.94,0.98
16,2018-04-06-01,103677,6154.84,2228.22,371.2,355.62,131.68,0.81,1.04,0.96,0.98
17,2018-04-06-01,65319,1475.14,2207.23,294.09,282.79,69.99,0.72,1.04,0.96,0.96
18,2018-04-06-01,75880,2412.28,2224.05,365.47,264.36,26.97,0.8,1.38,0.72,0.98
19,2018-04-06-01,48972,5248.4,2228.69,265.69,234.68,103.3,0.7,1.13,0.88,0.96
20,2018-04-06-01,38074,3364.08,2226.39,239,202.84,7.27,0.7,1.18,0.85,0.94
21,2018-04-06-01,112975,2869.49,3017.53,390.6,368.26,72.82,0.81,1.06,0.94,0.98
22,2018-04-06-01,118082,4755.59,3025.78,394.88,380.74,152.11,0.76,1.04,0.96,0.98
23,2018-04-06-01,98229,1018.01,3029.62,366.22,341.52,168.45,0.76,1.07,0.93,0.97
24,2018-04-06-01,98221,5698.85,3036.49,369.33,338.61,6.9,0.8,1.09,0.92,0.98
25,2018-04-06-01,69054,3814.3,3024.03,313.37,280.57,38.76,0.63,1.12,0.9,0.92
26,2018-04-06-01,27646,1974.02,3040.26,205.57,171.23,76.24,0.79,1.2,0.83,0.97
27,2018-04-06-01,117351,5223.83,3835.5,395.75,377.55,38.36,0.84,1.05,0.95,0.98
28,2018-04-06-01,101470,1481.91,3828.92,386.54,334.23,42.08,0.75,1.16,0.86,0.97
29,2018-04-06-01,61289,598.37,3797.95,295.19,264.36,99.47,0.55,1.12,0.9,0.92
30,2018-04-06-01,111931,3339.64,3841.21,387.5,367.78,173.87,0.81,1.05,0.95,0.98
31,2018-04-06-01,90993,6170.71,3854.53,351.18,329.91,145.5,0.61,1.06,0.94,0.93
32,2018-04-06-01,30244,2466.33,3797.38,209.96,183.4,85.02,0.82,1.14,0.87,0.98
33,2018-04-06-01,58055,4307.24,3841.32,279.9,264.09,66.73,0.74,1.06,0.94,0.96
34,2018-04-06-01,100523,3815.27,4646.81,374.23,342.01,140.57,0.84,1.09,0.91,0.98
35,2018-04-06-01,98451,5701.11,4651.96,374.45,334.77,179.55,0.63,1.12,0.89,0.95
36,2018-04-06-01,64267,1009.66,4655.75,314.13,260.49,67.67,0.63,1.21,0.83,0.94
37,2018-04-06-01,66135,2888.38,4655.01,301.47,279.32,25.59,0.63,1.08,0.93,0.93
38,2018-04-06-01,50859,1978.23,4629.89,284.71,227.44,47.62,0.83,1.25,0.8,0.98
39,2018-04-06-01,23009,4750.38,4677.65,184.47,158.82,15.34,0.77,1.16,0.86,0.96
40,2018-04-06-01,114720,2421.89,5451.02,401.3,363.98,149.85,0.81,1.1,0.91,0.98
41,2018-04-06-01,96245,4308.35,5456.95,397.58,308.22,90.88,0.69,1.29,0.78,0.97
42,2018-04-06-01,98783,522.82,5451.02,378.34,332.44,38.42,0.85,1.14,0.88,0.99
43,2018-04-06-01,106634,6176.91,5463.95,376.15,360.94,5.95,0.78,1.04,0.96,0.97
44,2018-04-06-01,58658,5257.26,5475.4,278,268.65,14.25,0.71,1.03,0.97,0.96
45,2018-04-06-01,64610,3339.16,5490.2,312.05,263.62,172.12,0.61,1.18,0.84,0.93
46,2018-04-06-01,23699,1478.27,5538.77,207.46,145.45,151.97,0.53,1.43,0.7,0.93
47,2018-04-06-01,92459,2886.94,6247.03,346.19,340.06,97.12,0.82,1.02,0.98,0.98
48,2018-04-06-01,96978,4765.79,6270.34,370.45,333.31,69.86,0.76,1.11,0.9,0.97
49,2018-04-06-01,112606,1009.03,6287.05,390.4,367.25,164.8,0.86,1.06,0.94,0.99
50,2018-04-06-01,78727,5676.99,6277.93,334.33,299.82,179.23,0.7,1.12,0.9,0.95
51,2018-04-06-01,64149,3824.64,6273.59,301.37,271.02,136.96,0.62,1.11,0.9,0.92
52,2018-04-06-01,24405,1939.33,6265.22,179.55,173.06,109.33,0.73,1.04,0.96,0.94
53,2018-04-06-01,101369,5217.29,7078.4,375.66,343.57,162.89,0.73,1.09,0.91,0.97
54,2018-04-06-01,99244,3345.88,7084.93,370.65,340.92,44.73,0.68,1.09,0.92,0.94
55,2018-04-06-01,72348,540.83,7088.86,309.8,297.34,92.17,0.76,1.04,0.96,0.96
56,2018-04-06-01,67329,6113.7,7081.75,320.55,267.43,51.97,0.62,1.2,0.83,0.94
57,2018-04-06-01,51945,1471.57,7058.4,262.05,252.39,40.84,0.78,1.04,0.96,0.97
58,2018-04-06-01,62508,2413.64,7083.84,295.77,269.08,42.03,0.78,1.1,0.91,0.97
59,2018-04-06-01,34352,4292.57,7078.4,212.16,206.16,132.21,0.78,1.03,0.97,0.97
60,2018-04-06-01,105363,1948.61,7881.46,384.79,348.64,172.12,0.79,1.1,0.91,0.97
61,2018-04-06-01,107771,5700.13,7895.58,375.43,365.5,7.07,0.81,1.03,0.97,0.98
62,2018-04-06-01,71609,3833.93,7890.19,311.1,293.08,14.9,0.79,1.06,0.94,0.97
63,2018-04-06-01,56148,1001.15,7900.82,283.32,252.33,111.83,0.73,1.12,0.89,0.96
64,2018-04-06-01,60236,4728.3,7900.58,289.46,264.96,8.69,0.75,1.09,0.92,0.96
65,2018-04-06-01,48921,2886.56,7934.6,273.63,227.64,41.91,0.75,1.2,0.83,0.97
66,2018-04-06-01,103833,557.87,8695.34,379.29,348.56,158.12,0.8,1.09,0.92,0.98
67,2018-04-06-01,106786,6175.9,8710.87,405.57,335.24,37.13,0.56,1.21,0.83,0.94
68,2018-04-06-01,103885,4285.63,8717.67,366.16,361.24,74.03,0.82,1.01,0.99,0.98
69,2018-04-06-01,71288,2399.6,8721.71,309.74,293.04,12.17,0.84,1.06,0.95,0.99
70,2018-04-06-01,62797,5222.26,8727.07,302.1,264.67,94.71,0.76,1.14,0.88,0.96
71,2018-04-06-01,62773,1479.15,8740.53,308.29,259.25,79.15,0.74,1.19,0.84,0.97
72,2018-04-06-01,20414,3266.35,8762.68,182.6,142.34,97.92,0.77,1.28,0.78,0.96
1,2018-04-06-02,109577,3341.03,586.66,392.08,355.84,44.64,0.71,1.1,0.91,0.97
2,2018-04-06-02,108397,5226.52,587.83,375.96,367.1,179.73,0.79,1.02,0.98,0.98
3,2018-04-06-02,57977,4281.95,574.78,276.58,266.9,133.21,0.74,1.04,0.97,0.96
4,2018-04-06-02,44580,2407.73,575.21,245.71,231,87.46,0.74,1.06,0.94,0.95
5,2018-04-06-02,68480,1478.14,597.26,309.1,282.08,57.58,0.77,1.1,0.91,0.97
6,2018-04-06-02,67625,534.27,616.93,324.58,265.27,89.38,0.66,1.22,0.82,0.96
7,2018-04-06-02,44012,6161.87,613.09,244.99,228.73,20.44,0.75,1.07,0.93,0.96
8,2018-04-06-02,124757,3813.22,1399.61,400.87,396.25,175.35,0.89,1.01,0.99,0.99
9,2018-04-06-02,119917,5686.89,1405.31,398.86,382.8,105.96,0.82,1.04,0.96,0.99
10,2018-04-06-02,111897,1935.81,1414.22,397.81,358.14,154.65,0.85,1.11,0.9,0.99
11,2018-04-06-02,85972,2866.1,1401.75,333.31,328.41,129.56,0.59,1.01,0.99,0.94
12,2018-04-06-02,46740,4728.53,1418.71,252.01,236.14,167.67,0.8,1.07,0.94,0.97
13,2018-04-06-02,35788,1111.14,1425.84,228.25,199.63,46.74,0.76,1.14,0.87,0.96
14,2018-04-06-02,55397,4282.98,2163.33,273.35,258.04,63,0.86,1.06,0.94,0.99
15,2018-04-06-02,96747,562.03,2212.82,371.03,332,154.34,0.75,1.12,0.89,0.97
16,2018-04-06-02,99255,6153.49,2228.41,359.79,351.25,129.09,0.77,1.02,0.98,0.98
17,2018-04-06-02,63588,1474.47,2206.81,291.14,278.09,73.15,0.74,1.05,0.96,0.96
